"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2023-10-06","STX","491203","17","673035","Q"
"NYTRF","2023-10-06","STX","6437","0","7471","N"
"NQTRF","2023-10-06","STXD","3715","0","4138","Q"
"NYTRF","2023-10-06","STXD","6","0","8","N"
"NQTRF","2023-10-06","STXE","3185","0","21386","Q"
"NYTRF","2023-10-06","STXE","2706","0","2707","N"
"NQTRF","2023-10-06","STXG","2017","0","3531","Q"
"NYTRF","2023-10-06","STXK","1","0","2","N"
"NQTRF","2023-10-06","STXK","1955","0","1961","Q"
"NQTRF","2023-10-06","STXS","22167","0","52290","Q"
"NQTRF","2023-10-06","STXT","645","0","1993","Q"
"NYTRF","2023-10-06","STXT","1","0","2","N"
"NQTRF","2023-10-06","STXV","1799","0","1820","Q"
"NCTRF","2023-10-06","STZ","790","0","2165","B"
"NQTRF","2023-10-06","STZ","324907","394","1351584","Q"
"NYTRF","2023-10-06","STZ","1875","275","4491","N"
"ORF","2023-10-06","STZHF","843","0","9644","O"
"NQTRF","2023-10-06","SU","356101","0","800495","Q"
"NYTRF","2023-10-06","SU","7869","0","12537","N"
"NQTRF","2023-10-06","SUAC","10200","0","10200","Q"
"NQTRF","2023-10-06","SUB","108985","153","380800","Q"
"NYTRF","2023-10-06","SUB","1","0","4059","N"
"ORF","2023-10-06","SUBCY","1075","0","2754","O"
"ORF","2023-10-06","SUHJY","12890","0","188156","O"
"NQTRF","2023-10-06","SUI","143975","9","208973","Q"
"NYTRF","2023-10-06","SUI","306","0","509","N"
"ORF","2023-10-06","SUIC","1100","0","1378","O"
"NCTRF","2023-10-06","SUM","500","0","800","B"
"NQTRF","2023-10-06","SUM","197573","0","1239427","Q"
"NYTRF","2023-10-06","SUM","1607","0","4258","N"
"ORF","2023-10-06","SUMXF","2300","0","12900","O"
"NQTRF","2023-10-06","SUN","41066","0","75688","Q"
"NYTRF","2023-10-06","SUN","333","0","1498","N"
"NQTRF","2023-10-06","SUNW","354444","1020","796228","Q"
"NYTRF","2023-10-06","SUNW","25176","220","42853","N"
"ORF","2023-10-06","SUOPY","56","0","103","O"
"NQTRF","2023-10-06","SUP","15896","0","25666","Q"
"NYTRF","2023-10-06","SUP","11","0","302","N"
"NQTRF","2023-10-06","SUPL","1","0","13","Q"
"NQTRF","2023-10-06","SUPN","53887","0","70529","Q"
"NYTRF","2023-10-06","SUPN","1466","0","1507","N"
"NQTRF","2023-10-06","SUPP","1","0","1","Q"
"NCTRF","2023-10-06","SUPV","200","0","4245","B"
"NQTRF","2023-10-06","SUPV","67243","0","218326","Q"
"NYTRF","2023-10-06","SUPV","430","0","438","N"
