"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NYTRF","2024-10-08","TRVI","679","0","1505","N"
"NQTRF","2024-10-07","TRVI","32335","0","49637","Q"
"NYTRF","2024-10-07","TRVI","1376","0","2796","N"
"NCTRF","2024-10-04","TRVI","641","0","641","B"
"NQTRF","2024-10-04","TRVI","64212","0","170752","Q"
"NYTRF","2024-10-04","TRVI","517","0","7186","N"
"NQTRF","2024-10-03","TRVI","25683","0","58682","Q"
"NYTRF","2024-10-03","TRVI","27","0","2993","N"
"NQTRF","2024-10-02","TRVI","81278","333","168324","Q"
"NYTRF","2024-10-02","TRVI","200","0","1758","N"
"NQTRF","2024-10-01","TRVI","43694","0","272100","Q"
"NYTRF","2024-10-01","TRVI","900","0","1644","N"
"NCTRF","2024-09-30","TRVI","400","0","400","B"
"NQTRF","2024-09-30","TRVI","41655","0","67458","Q"
"NYTRF","2024-09-30","TRVI","896","0","1008","N"
"NQTRF","2024-09-27","TRVI","62288","0","274684","Q"
"NYTRF","2024-09-27","TRVI","386","0","1596","N"
"NQTRF","2024-09-26","TRVI","11114","0","1703103","Q"
"NYTRF","2024-09-26","TRVI","209","0","1302","N"
"NQTRF","2024-09-25","TRVI","75571","0","225992","Q"
"NYTRF","2024-09-25","TRVI","790","0","1023","N"
"NQTRF","2024-09-24","TRVI","76507","0","156048","Q"
"NYTRF","2024-09-24","TRVI","15644","0","16086","N"
"NQTRF","2024-09-23","TRVI","58123","0","78731","Q"
"NYTRF","2024-09-23","TRVI","567","0","2512","N"
"NQTRF","2024-09-20","TRVI","32939","0","124245","Q"
"NQTRF","2024-09-19","TRVI","52879","0","228307","Q"
"NYTRF","2024-09-19","TRVI","180","0","1563","N"
"NCTRF","2024-09-18","TRVI","200","0","200","B"
"NQTRF","2024-09-18","TRVI","47941","0","112381","Q"
"NYTRF","2024-09-18","TRVI","1017","0","5917","N"
"NQTRF","2024-09-17","TRVI","102840","0","237144","Q"
"NYTRF","2024-09-17","TRVI","855","0","1129","N"
"NQTRF","2024-09-16","TRVI","34290","0","555004","Q"
"NYTRF","2024-09-16","TRVI","1494","0","2512","N"
"NCTRF","2024-09-13","TRVI","44","0","239","B"
"NQTRF","2024-09-13","TRVI","84729","0","245371","Q"
"NYTRF","2024-09-13","TRVI","149","0","3745","N"
