"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2024-12-20","KULR","127336","0","196952","B"
"NQTRF","2024-12-20","KULR","19839762","957122","37672774","Q"
"NYTRF","2024-12-20","KULR","1325627","285881","2592216","N"
"NCTRF","2024-12-19","KULR","195404","0","305999","B"
"NQTRF","2024-12-19","KULR","28359703","820208","46146113","Q"
"NYTRF","2024-12-19","KULR","2267776","206122","3736750","N"
"NCTRF","2024-12-18","KULR","302271","200","602344","B"
"NQTRF","2024-12-18","KULR","40570622","2038503","77406044","Q"
"NYTRF","2024-12-18","KULR","3034332","452266","5673737","N"
"NCTRF","2024-12-17","KULR","23096","0","44861","B"
"NQTRF","2024-12-17","KULR","7402493","214731","12918881","Q"
"NYTRF","2024-12-17","KULR","712142","171573","1091030","N"
"NCTRF","2024-12-16","KULR","93044","0","174926","B"
"NQTRF","2024-12-16","KULR","10459759","528919","19687440","Q"
"NYTRF","2024-12-16","KULR","1016031","274487","2237400","N"
"NCTRF","2024-12-13","KULR","12443","0","22478","B"
"NQTRF","2024-12-13","KULR","2702067","215136","5700535","Q"
"NYTRF","2024-12-13","KULR","514432","48145","923088","N"
"NCTRF","2024-12-12","KULR","30697","0","40394","B"
"NQTRF","2024-12-12","KULR","3376720","168587","6428592","Q"
"NYTRF","2024-12-12","KULR","418439","54963","751248","N"
"NCTRF","2024-12-11","KULR","16017","0","34771","B"
"NQTRF","2024-12-11","KULR","4510986","167806","8284784","Q"
"NYTRF","2024-12-11","KULR","755441","79125","1109372","N"
"NCTRF","2024-12-10","KULR","41550","0","77304","B"
"NQTRF","2024-12-10","KULR","7602196","289884","13029720","Q"
"NYTRF","2024-12-10","KULR","749729","70688","1207186","N"
"NCTRF","2024-12-09","KULR","16411","0","43065","B"
"NQTRF","2024-12-09","KULR","5172467","81526","9799153","Q"
"NYTRF","2024-12-09","KULR","961668","43428","1559880","N"
"NCTRF","2024-12-06","KULR","38161","0","103552","B"
"NQTRF","2024-12-06","KULR","5266480","151314","11118132","Q"
"NYTRF","2024-12-06","KULR","911166","102852","1449731","N"
"NCTRF","2024-12-05","KULR","34103","69","60241","B"
"NQTRF","2024-12-05","KULR","7743780","1229520","13659364","Q"
"NYTRF","2024-12-05","KULR","761111","124714","1522154","N"
"NCTRF","2024-12-04","KULR","75212","5242","166661","B"
"NQTRF","2024-12-04","KULR","11736308","1778387","23781468","Q"
"NYTRF","2024-12-04","KULR","1874417","240586","3618428","N"
"NCTRF","2024-12-03","KULR","30724","0","116953","B"
"NQTRF","2024-12-03","KULR","9750669","168564","16856443","Q"
"NYTRF","2024-12-03","KULR","1642186","272689","2321415","N"
"NCTRF","2024-12-02","KULR","204351","0","314533","B"
"NQTRF","2024-12-02","KULR","38334413","794560","62593023","Q"
"NYTRF","2024-12-02","KULR","3682231","413580","5794598","N"
"NCTRF","2024-11-29","KULR","9017","0","40999","B"
"NQTRF","2024-11-29","KULR","23603765","1641588","48659643","Q"
