"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-27","SIL","150","0","241","B"
"NYTRF","2023-10-27","SIL","155","0","5456","N"
"NQTRF","2023-10-27","SIL","52851","0","121174","Q"
"NQTRF","2023-10-26","SIL","24302","0","108528","Q"
"NYTRF","2023-10-26","SIL","192","0","3667","N"
"NYTRF","2023-10-25","SIL","300","0","1209","N"
"NQTRF","2023-10-25","SIL","40009","0","102409","Q"
"NYTRF","2023-10-24","SIL","104","0","7062","N"
"NQTRF","2023-10-24","SIL","17068","1317","84601","Q"
"NCTRF","2023-10-24","SIL","84","0","84","B"
"NQTRF","2023-10-23","SIL","32204","35","112004","Q"
"NCTRF","2023-10-23","SIL","5","0","349","B"
"NYTRF","2023-10-23","SIL","598","0","1979","N"
"NYTRF","2023-10-20","SIL","801","0","3138","N"
"NQTRF","2023-10-20","SIL","42614","200","188631","Q"
"NYTRF","2023-10-19","SIL","80","0","2758","N"
"NQTRF","2023-10-19","SIL","45657","344","115895","Q"
"NQTRF","2023-10-18","SIL","64739","94","157336","Q"
"NYTRF","2023-10-18","SIL","180","0","7353","N"
"NCTRF","2023-10-17","SIL","212","0","1082","B"
"NQTRF","2023-10-17","SIL","33475","39","117938","Q"
"NYTRF","2023-10-17","SIL","513","0","848","N"
"NQTRF","2023-10-16","SIL","35022","0","102610","Q"
"NCTRF","2023-10-16","SIL","124","0","494","B"
"NYTRF","2023-10-16","SIL","398","0","867","N"
"NYTRF","2023-10-13","SIL","238","0","7997","N"
"NCTRF","2023-10-13","SIL","1001","0","1101","B"
"NQTRF","2023-10-13","SIL","100482","300","196516","Q"
"NYTRF","2023-10-12","SIL","283","0","777","N"
"NCTRF","2023-10-12","SIL","40","0","40","B"
"NQTRF","2023-10-12","SIL","67029","0","120887","Q"
"NCTRF","2023-10-11","SIL","500","0","500","B"
"NQTRF","2023-10-11","SIL","187714","0","258025","Q"
"NYTRF","2023-10-11","SIL","301","0","1941","N"
"NQTRF","2023-10-10","SIL","28191","0","78369","Q"
"NYTRF","2023-10-10","SIL","201","66","1973","N"
"NYTRF","2023-10-09","SIL","177","0","2108","N"
"NCTRF","2023-10-09","SIL","100","0","200","B"
"NQTRF","2023-10-09","SIL","167914","0","215884","Q"
"NCTRF","2023-10-06","SIL","537","0","712","B"
"NYTRF","2023-10-06","SIL","708","0","2869","N"
"NQTRF","2023-10-06","SIL","36668","57","155126","Q"
"NQTRF","2023-10-05","SIL","23715","41","71255","Q"
"NYTRF","2023-10-05","SIL","111","0","2409","N"
"NCTRF","2023-10-04","SIL","140","0","371","B"
"NQTRF","2023-10-04","SIL","56364","0","151417","Q"
"NYTRF","2023-10-04","SIL","1944","0","4350","N"
"NQTRF","2023-10-03","SIL","40123","700","124319","Q"
"NCTRF","2023-10-03","SIL","200","0","200","B"
"NYTRF","2023-10-03","SIL","1932","102","4772","N"
"NYTRF","2023-10-02","SIL","2096","23","4538","N"
"NCTRF","2023-10-02","SIL","200","0","2219","B"
"NQTRF","2023-10-02","SIL","97262","100","261250","Q"
"NYTRF","2023-09-29","SIL","1797","51","2486","N"
"NCTRF","2023-09-29","SIL","2550","0","2623","B"
"NQTRF","2023-09-29","SIL","99813","160","252338","Q"
"NYTRF","2023-09-28","SIL","265","70","1730","N"
"NCTRF","2023-09-28","SIL","71","0","251","B"
"NQTRF","2023-09-28","SIL","199673","46","277964","Q"
"NQTRF","2023-09-27","SIL","48283","100","229749","Q"
"NYTRF","2023-09-27","SIL","104","0","1968","N"
"NCTRF","2023-09-27","SIL","160","0","230","B"
"NQTRF","2023-09-26","SIL","43762","0","218690","Q"
"NYTRF","2023-09-26","SIL","60","0","3111","N"
"NCTRF","2023-09-26","SIL","2005","0","4365","B"
"NCTRF","2023-09-25","SIL","150","0","290","B"
"NQTRF","2023-09-25","SIL","52639","0","169421","Q"
"NYTRF","2023-09-25","SIL","520","0","1786","N"
"NYTRF","2023-09-22","SIL","12333","0","12997","N"
"NCTRF","2023-09-22","SIL","400","0","500","B"
"NQTRF","2023-09-22","SIL","38506","0","146421","Q"
"NQTRF","2023-09-21","SIL","49463","0","129167","Q"
"NCTRF","2023-09-21","SIL","914","0","2103","B"
"NYTRF","2023-09-21","SIL","456","0","908","N"
"NQTRF","2023-09-20","SIL","52329","746","155164","Q"
"NYTRF","2023-09-20","SIL","1004","0","1704","N"
"NCTRF","2023-09-20","SIL","825","0","1118","B"
"NYTRF","2023-09-19","SIL","5","0","3275","N"
"NQTRF","2023-09-19","SIL","41498","200","118229","Q"
"NYTRF","2023-09-18","SIL","197","27","235","N"
"NQTRF","2023-09-18","SIL","24590","0","74992","Q"
"NCTRF","2023-09-18","SIL","125","0","732","B"
"NCTRF","2023-09-15","SIL","200","0","250","B"
"NQTRF","2023-09-15","SIL","41334","0","137293","Q"
"NYTRF","2023-09-15","SIL","5994","0","6996","N"
"NCTRF","2023-09-14","SIL","25","0","848","B"
"NYTRF","2023-09-14","SIL","516","106","4494","N"
"NQTRF","2023-09-14","SIL","1232834","0","1394867","Q"
"NYTRF","2023-09-13","SIL","193","0","1523","N"
"NQTRF","2023-09-13","SIL","16907","0","54277","Q"
"NYTRF","2023-09-12","SIL","1001","0","4144","N"
"NQTRF","2023-09-12","SIL","24051","44","71701","Q"
"NYTRF","2023-09-11","SIL","1","0","1551","N"
"NCTRF","2023-09-11","SIL","300","0","300","B"
"NQTRF","2023-09-11","SIL","30349","0","138146","Q"
"NQTRF","2023-09-08","SIL","36280","0","90322","Q"
"NCTRF","2023-09-07","SIL","1","0","1","B"
"NYTRF","2023-09-07","SIL","3","0","612","N"
"NQTRF","2023-09-07","SIL","34157","3299","98929","Q"
"NQTRF","2023-09-06","SIL","30990","527","90789","Q"
"NCTRF","2023-09-06","SIL","100","0","300","B"
"NYTRF","2023-09-06","SIL","3","0","1176","N"
"NQTRF","2023-09-05","SIL","220363","525","400719","Q"
"NYTRF","2023-09-05","SIL","753","257","1383","N"
"NCTRF","2023-09-05","SIL","76","0","476","B"
"NYTRF","2023-09-01","SIL","38","0","4482","N"
"NQTRF","2023-09-01","SIL","39396","0","165096","Q"
"NYTRF","2023-08-31","SIL","2058","0","3723","N"
"NQTRF","2023-08-31","SIL","15419","0","63512","Q"
"NCTRF","2023-08-31","SIL","100","0","100","B"
"NYTRF","2023-08-30","SIL","371","0","2429","N"
"NQTRF","2023-08-30","SIL","77087","26800","170712","Q"
"NQTRF","2023-08-29","SIL","65335","51","151361","Q"
"NYTRF","2023-08-29","SIL","722","63","2083","N"
"NCTRF","2023-08-29","SIL","706","0","726","B"
"NQTRF","2023-08-28","SIL","32140","100","161010","Q"
"NYTRF","2023-08-28","SIL","469","0","2785","N"
"NQTRF","2023-08-25","SIL","42975","123","135355","Q"
"NYTRF","2023-08-25","SIL","4671","68","10192","N"
"NCTRF","2023-08-25","SIL","106","0","201","B"
"NCTRF","2023-08-24","SIL","100","0","100","B"
