"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NQTRF","2024-08-12","NVNI","456","0","1957","Q"
"NYTRF","2024-08-12","NVNI","1548","1548","1548","N"
"NQTRF","2024-08-09","NVNI","540","0","969","Q"
"NQTRF","2024-08-08","NVNI","202","0","6571","Q"
"NQTRF","2024-08-07","NVNI","1024","0","3631","Q"
"NQTRF","2024-08-06","NVNI","13515","300","19862","Q"
"NYTRF","2024-08-06","NVNI","1618","56","2538","N"
"NQTRF","2024-08-05","NVNI","782","300","11170","Q"
"NQTRF","2024-08-02","NVNI","817","609","4364","Q"
"NQTRF","2024-08-01","NVNI","2165","0","7831","Q"
"NYTRF","2024-08-01","NVNI","350","0","593","N"
"NQTRF","2024-07-31","NVNI","9372","0","14325","Q"
"NYTRF","2024-07-31","NVNI","1665","1665","1668","N"
"NCTRF","2024-07-30","NVNI","400","0","400","B"
"NQTRF","2024-07-30","NVNI","9480","445","15624","Q"
"NYTRF","2024-07-30","NVNI","73","0","274","N"
"NQTRF","2024-07-29","NVNI","32511","2637","95195","Q"
"NYTRF","2024-07-29","NVNI","1959","1659","12896","N"
"NQTRF","2024-07-26","NVNI","83124","15978","136578","Q"
"NYTRF","2024-07-26","NVNI","4519","605","10106","N"
"NCTRF","2024-07-25","NVNI","2252","0","5645","B"
"NQTRF","2024-07-25","NVNI","800713","19956","1387144","Q"
"NYTRF","2024-07-25","NVNI","209230","52309","300735","N"
"NQTRF","2024-07-24","NVNI","6190","0","12303","Q"
"NCTRF","2024-07-23","NVNI","400","0","401","B"
"NQTRF","2024-07-23","NVNI","3803","0","5742","Q"
"NCTRF","2024-07-22","NVNI","100","0","100","B"
"NQTRF","2024-07-22","NVNI","3318","0","5725","Q"
"NQTRF","2024-07-19","NVNI","4027","0","7221","Q"
"NQTRF","2024-07-18","NVNI","9082","800","18897","Q"
"NYTRF","2024-07-18","NVNI","2","0","1111","N"
"NCTRF","2024-07-17","NVNI","100","0","100","B"
"NQTRF","2024-07-17","NVNI","600","0","1154","Q"
"NQTRF","2024-07-16","NVNI","41","0","3776","Q"
"NYTRF","2024-07-16","NVNI","314","0","1343","N"
"NQTRF","2024-07-15","NVNI","240","0","742","Q"
"NQTRF","2024-07-12","NVNI","120","0","156","Q"
"NQTRF","2024-07-11","NVNI","35","0","1145","Q"
"NQTRF","2024-07-10","NVNI","1066","0","1696","Q"
"NCTRF","2024-07-09","NVNI","100","100","200","B"
"NQTRF","2024-07-09","NVNI","1175","75","3792","Q"
"NYTRF","2024-07-09","NVNI","595","230","1174","N"
"NQTRF","2024-07-08","NVNI","59","0","77","Q"
"NQTRF","2024-07-05","NVNI","1173","0","6165","Q"
"NQTRF","2024-07-02","NVNI","1","0","5","Q"
"NQTRF","2024-07-01","NVNI","101","0","251","Q"
"NQTRF","2024-06-28","NVNI","45","0","902","Q"
"NQTRF","2024-06-27","NVNI","126","0","297","Q"
"NQTRF","2024-06-26","NVNI","1","0","116","Q"
"NQTRF","2024-06-24","NVNI","25","5","187","Q"
"NQTRF","2024-06-21","NVNI","104","101","638","Q"
"NQTRF","2024-06-20","NVNI","1383","0","6039","Q"
"NQTRF","2024-06-18","NVNI","637","0","7687","Q"
"NQTRF","2024-06-17","NVNI","72","72","98","Q"
"NQTRF","2024-06-12","NVNI","423","0","684","Q"
"NYTRF","2024-06-12","NVNI","1","0","390","N"
"NQTRF","2024-06-10","NVNI","1","0","142","Q"
"NQTRF","2024-06-07","NVNI","5","0","127","Q"
"NQTRF","2024-06-05","NVNI","1","0","2396","Q"
"NQTRF","2024-05-31","NVNI","1","0","1037","Q"
"NQTRF","2024-05-30","NVNI","40","0","256","Q"
"NQTRF","2024-05-29","NVNI","140","0","174","Q"
