"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-08-28","RGTI","15859","0","22699","B"
"NYTRF","2023-08-28","RGTI","167226","24290","344635","N"
"NCTRF","2023-08-25","RGTI","531","0","3983","B"
"NQTRF","2023-08-25","RGTI","1153809","136215","2117735","Q"
"NYTRF","2023-08-25","RGTI","176700","16051","362210","N"
"NCTRF","2023-08-24","RGTI","5600","0","13032","B"
"NQTRF","2023-08-24","RGTI","1446265","55035","2898846","Q"
"NYTRF","2023-08-24","RGTI","360115","34035","535045","N"
"NYTRF","2023-08-23","RGTI","162958","37908","532124","N"
"NCTRF","2023-08-23","RGTI","6633","0","19692","B"
"NQTRF","2023-08-23","RGTI","1182865","45529","2279314","Q"
"NCTRF","2023-08-22","RGTI","11594","0","32569","B"
"NYTRF","2023-08-22","RGTI","179464","3227","404876","N"
"NQTRF","2023-08-22","RGTI","1296598","44243","2175909","Q"
"NCTRF","2023-08-21","RGTI","18691","0","27761","B"
"NQTRF","2023-08-21","RGTI","1655200","55090","2914334","Q"
"NYTRF","2023-08-21","RGTI","282565","10919","492477","N"
"NCTRF","2023-08-18","RGTI","3393","0","13435","B"
"NYTRF","2023-08-18","RGTI","382218","33487","614687","N"
"NQTRF","2023-08-18","RGTI","1600319","99631","3052079","Q"
"NCTRF","2023-08-17","RGTI","20328","0","50261","B"
"NQTRF","2023-08-17","RGTI","2046726","158574","4291911","Q"
"NYTRF","2023-08-17","RGTI","291650","34390","745223","N"
"NQTRF","2023-08-16","RGTI","2879755","242448","5154573","Q"
"NCTRF","2023-08-16","RGTI","54874","0","92293","B"
"NYTRF","2023-08-16","RGTI","548213","47108","1033994","N"
"NYTRF","2023-08-15","RGTI","951878","38244","1515736","N"
"NQTRF","2023-08-15","RGTI","4575838","392077","8306371","Q"
"NCTRF","2023-08-15","RGTI","39963","0","81954","B"
"NCTRF","2023-08-14","RGTI","69831","0","106682","B"
"NYTRF","2023-08-14","RGTI","1343098","92813","2412794","N"
"NQTRF","2023-08-14","RGTI","7397141","143809","12857172","Q"
"NCTRF","2023-08-11","RGTI","233452","0","406424","B"
"NQTRF","2023-08-11","RGTI","25985212","498622","45088857","Q"
"NYTRF","2023-08-11","RGTI","3725725","195035","6180051","N"
"NCTRF","2023-08-10","RGTI","39289","0","73457","B"
"NYTRF","2023-08-10","RGTI","264118","13495","478064","N"
"NQTRF","2023-08-10","RGTI","1686370","177684","2778489","Q"
"NQTRF","2023-08-09","RGTI","1253163","73605","2829353","Q"
"NYTRF","2023-08-09","RGTI","193333","11127","414467","N"
"NCTRF","2023-08-09","RGTI","9084","0","23928","B"
"NQTRF","2023-08-08","RGTI","1994868","231162","3928692","Q"
"NCTRF","2023-08-08","RGTI","13219","0","27272","B"
"NYTRF","2023-08-08","RGTI","362608","8136","727845","N"
"NYTRF","2023-08-07","RGTI","374789","34254","649362","N"
"NCTRF","2023-08-07","RGTI","4568","0","22966","B"
"NQTRF","2023-08-07","RGTI","1730740","92972","3869910","Q"
"NQTRF","2023-08-04","RGTI","1690649","124920","3236846","Q"
"NYTRF","2023-08-04","RGTI","514502","54684","939481","N"
"NCTRF","2023-08-04","RGTI","9119","0","23466","B"
"NYTRF","2023-08-03","RGTI","712131","95401","1089156","N"
"NCTRF","2023-08-03","RGTI","17561","0","49021","B"
"NQTRF","2023-08-03","RGTI","2329412","186103","4678378","Q"
"NCTRF","2023-08-02","RGTI","12462","0","39675","B"
"NYTRF","2023-08-02","RGTI","849564","64987","1401999","N"
"NQTRF","2023-08-02","RGTI","2946791","236232","5368842","Q"
"NYTRF","2023-08-01","RGTI","1684709","104194","3025893","N"
"NQTRF","2023-08-01","RGTI","5736359","124832","10010580","Q"
"NCTRF","2023-08-01","RGTI","65880","0","116356","B"
"NCTRF","2023-07-31","RGTI","26714","0","40571","B"
"NYTRF","2023-07-31","RGTI","704041","15332","1098941","N"
"NQTRF","2023-07-31","RGTI","2486287","92576","4288472","Q"
"NCTRF","2023-07-28","RGTI","9669","0","18537","B"
"NYTRF","2023-07-28","RGTI","626613","41567","1226575","N"
"NQTRF","2023-07-28","RGTI","1942445","71711","3907444","Q"
"NYTRF","2023-07-27","RGTI","395523","8580","915992","N"
"NCTRF","2023-07-27","RGTI","7489","0","16853","B"
"NQTRF","2023-07-27","RGTI","1520008","36285","2671819","Q"
"NCTRF","2023-07-26","RGTI","7048","0","22733","B"
"NYTRF","2023-07-26","RGTI","486858","10438","846627","N"
"NQTRF","2023-07-26","RGTI","1695580","28744","2814594","Q"
"NQTRF","2023-07-25","RGTI","2875156","36061","5534558","Q"
"NCTRF","2023-07-25","RGTI","27253","0","45556","B"
"NYTRF","2023-07-25","RGTI","542040","11385","1101759","N"
"NQTRF","2023-07-24","RGTI","866250","104868","1602175","Q"
"NCTRF","2023-07-24","RGTI","2896","0","13520","B"
"NYTRF","2023-07-24","RGTI","270195","32099","493927","N"
"NQTRF","2023-07-21","RGTI","1384209","73111","2676693","Q"
"NYTRF","2023-07-21","RGTI","337850","14717","795070","N"
"NCTRF","2023-07-21","RGTI","1885","0","15245","B"
"NQTRF","2023-07-20","RGTI","1281349","140179","2105172","Q"
"NYTRF","2023-07-20","RGTI","249837","18472","527753","N"
"NCTRF","2023-07-20","RGTI","940","0","15825","B"
"NCTRF","2023-07-19","RGTI","1700","0","3800","B"
"NYTRF","2023-07-19","RGTI","554267","5032","829853","N"
"NQTRF","2023-07-19","RGTI","2186178","60570","3181936","Q"
"NQTRF","2023-07-18","RGTI","2832967","103504","4900689","Q"
"NYTRF","2023-07-18","RGTI","663821","27742","1230998","N"
"NCTRF","2023-07-18","RGTI","6100","0","10366","B"
"NCTRF","2023-07-17","RGTI","8160","0","14076","B"
"NYTRF","2023-07-17","RGTI","503315","20037","834125","N"
"NQTRF","2023-07-17","RGTI","1858754","189031","3112954","Q"
"NCTRF","2023-07-14","RGTI","2361","0","13381","B"
"NYTRF","2023-07-14","RGTI","464947","3629","835967","N"
"NQTRF","2023-07-14","RGTI","1499894","26051","2507978","Q"
"NYTRF","2023-07-13","RGTI","450044","25236","1131396","N"
"NCTRF","2023-07-13","RGTI","7434","0","13112","B"
"NQTRF","2023-07-13","RGTI","1752461","86753","3100597","Q"
"NYTRF","2023-07-12","RGTI","260560","2554","504740","N"
"NQTRF","2023-07-12","RGTI","1310976","86167","2359964","Q"
"NCTRF","2023-07-12","RGTI","12094","0","12762","B"
"NYTRF","2023-07-11","RGTI","422338","27136","744637","N"
"NQTRF","2023-07-11","RGTI","1891164","33417","3103018","Q"
"NCTRF","2023-07-11","RGTI","6769","0","11169","B"
"NQTRF","2023-07-10","RGTI","671771","35735","1255811","Q"
"NYTRF","2023-07-10","RGTI","152543","11737","366473","N"
"NCTRF","2023-07-10","RGTI","601","0","2998","B"
"NCTRF","2023-07-07","RGTI","12440","0","29235","B"
"NYTRF","2023-07-07","RGTI","277149","2367","549317","N"
"NQTRF","2023-07-07","RGTI","1167137","101994","2203347","Q"
"NQTRF","2023-07-06","RGTI","2141317","182032","3424598","Q"
"NYTRF","2023-07-06","RGTI","451541","11751","846384","N"
"NCTRF","2023-07-06","RGTI","12818","0","28711","B"
"NCTRF","2023-07-05","RGTI","23754","0","28780","B"
"NYTRF","2023-07-05","RGTI","520672","15497","1143889","N"
"NQTRF","2023-07-05","RGTI","2884171","59520","4655552","Q"
"NYTRF","2023-07-03","RGTI","177856","9275","459704","N"
"NCTRF","2023-07-03","RGTI","405","0","2150","B"
"NQTRF","2023-07-03","RGTI","704449","4243","1520818","Q"
"NYTRF","2023-06-30","RGTI","330183","22191","714373","N"
"NQTRF","2023-06-30","RGTI","1230341","104059","2173559","Q"
"NCTRF","2023-06-30","RGTI","2040","0","4110","B"
"NYTRF","2023-06-29","RGTI","486236","19888","910325","N"
"NQTRF","2023-06-29","RGTI","1436817","29315","2453137","Q"
"NCTRF","2023-06-29","RGTI","8539","0","23239","B"
"NYTRF","2023-06-28","RGTI","647769","24559","1204198","N"
"NCTRF","2023-06-28","RGTI","9367","0","9968","B"
"NQTRF","2023-06-28","RGTI","2112993","23345","3386121","Q"
"NYTRF","2023-06-27","RGTI","209565","2044","366283","N"
"NCTRF","2023-06-27","RGTI","2500","0","2500","B"
"NQTRF","2023-06-27","RGTI","805602","8661","1263304","Q"
"NYTRF","2023-06-26","RGTI","293368","3097","727957","N"
"NQTRF","2023-06-26","RGTI","1324491","16780","2121521","Q"
"NCTRF","2023-06-26","RGTI","6499","0","7405","B"
"NCTRF","2023-06-23","RGTI","300","0","1152","B"
"NQTRF","2023-06-23","RGTI","562490","35144","799742","Q"
"NYTRF","2023-06-23","RGTI","163484","4377","273230","N"
"NQTRF","2023-06-22","RGTI","706911","54423","1339528","Q"
"NYTRF","2023-06-22","RGTI","333823","2162","635866","N"
"NCTRF","2023-06-22","RGTI","1200","0","1607","B"
"NCTRF","2023-06-21","RGTI","2816","0","8614","B"
"NQTRF","2023-06-21","RGTI","760832","56706","1573591","Q"
"NYTRF","2023-06-21","RGTI","187504","3281","516544","N"
"NYTRF","2023-06-20","RGTI","168421","12362","331482","N"
"NQTRF","2023-06-20","RGTI","614972","63475","1230244","Q"
"NCTRF","2023-06-20","RGTI","4300","0","5458","B"
"NYTRF","2023-06-16","RGTI","141810","19219","293470","N"
"NQTRF","2023-06-16","RGTI","567646","31305","1244299","Q"
"NCTRF","2023-06-16","RGTI","1179","0","4060","B"
"NQTRF","2023-06-15","RGTI","562411","24180","1167752","Q"
"NCTRF","2023-06-15","RGTI","500","0","1800","B"
"NYTRF","2023-06-15","RGTI","162204","3552","345108","N"
"NCTRF","2023-06-14","RGTI","100","0","3450","B"
"NYTRF","2023-06-14","RGTI","308434","15870","548960","N"
"NQTRF","2023-06-14","RGTI","1016130","110092","1760190","Q"
"NQTRF","2023-06-13","RGTI","1350579","86161","2509880","Q"
"NCTRF","2023-06-13","RGTI","6603","0","15435","B"
"NYTRF","2023-06-13","RGTI","372059","37793","835697","N"
"NQTRF","2023-06-12","RGTI","1390505","84684","2503968","Q"
"NCTRF","2023-06-12","RGTI","12300","0","21954","B"
"NYTRF","2023-06-12","RGTI","399189","6728","688360","N"
"NQTRF","2023-06-09","RGTI","3285716","48298","5392641","Q"
"NCTRF","2023-06-09","RGTI","38469","0","57083","B"
"NYTRF","2023-06-09","RGTI","939985","24407","1790081","N"
"NCTRF","2023-06-08","RGTI","37067","0","74577","B"
"NYTRF","2023-06-08","RGTI","1516993","41769","2897268","N"
"NQTRF","2023-06-08","RGTI","4321821","318287","7699067","Q"
"NCTRF","2023-06-07","RGTI","4425","0","10766","B"
"NYTRF","2023-06-07","RGTI","404352","5482","831168","N"
"NQTRF","2023-06-07","RGTI","1536611","30315","2574231","Q"
"NQTRF","2023-06-06","RGTI","1904523","29773","3533988","Q"
"NCTRF","2023-06-06","RGTI","3488","0","8887","B"
"NYTRF","2023-06-06","RGTI","613122","17327","1257563","N"
"NQTRF","2023-06-05","RGTI","625017","78107","1144451","Q"
"NCTRF","2023-06-05","RGTI","6800","0","15857","B"
"NYTRF","2023-06-05","RGTI","337132","4491","568692","N"
"NCTRF","2023-06-02","RGTI","1000","0","1430","B"
"NYTRF","2023-06-02","RGTI","291535","13834","506576","N"
"NQTRF","2023-06-02","RGTI","998314","115922","1633955","Q"
"NQTRF","2023-06-01","RGTI","1185965","118043","2256212","Q"
"NYTRF","2023-06-01","RGTI","362028","10839","798013","N"
"NCTRF","2023-06-01","RGTI","2541","0","30894","B"
"NYTRF","2023-05-31","RGTI","110284","3395","273971","N"
"NCTRF","2023-05-31","RGTI","2330","0","2790","B"
"NQTRF","2023-05-31","RGTI","693065","97640","1356870","Q"
"NYTRF","2023-05-30","RGTI","324908","3584","622287","N"
"NCTRF","2023-05-30","RGTI","7847","0","23591","B"
"NQTRF","2023-05-30","RGTI","1359144","71057","2477891","Q"
"NQTRF","2023-05-26","RGTI","1708950","18638","2925005","Q"
"NYTRF","2023-05-26","RGTI","433741","2343","903691","N"
"NCTRF","2023-05-26","RGTI","694","0","918","B"
"NQTRF","2023-05-25","RGTI","664864","55363","1106545","Q"
"NCTRF","2023-05-25","RGTI","17366","0","18725","B"
"NYTRF","2023-05-25","RGTI","373749","2797","644271","N"
"NCTRF","2023-05-24","RGTI","2462","0","3262","B"
"NQTRF","2023-05-24","RGTI","1766186","84005","2810367","Q"
"NYTRF","2023-05-24","RGTI","482177","2475","890508","N"
"NQTRF","2023-05-23","RGTI","1074960","8034","1889423","Q"
"NYTRF","2023-05-23","RGTI","259953","0","530516","N"
"NCTRF","2023-05-23","RGTI","22263","0","45164","B"
"NQTRF","2023-05-22","RGTI","2406806","159621","3985254","Q"
"NYTRF","2023-05-22","RGTI","1014896","19350","1779558","N"
"NCTRF","2023-05-22","RGTI","33500","0","62889","B"
"NQTRF","2023-05-19","RGTI","316428","1449","501517","Q"
"NYTRF","2023-05-19","RGTI","48564","46","135333","N"
"NQTRF","2023-05-18","RGTI","390964","20279","631130","Q"
"NYTRF","2023-05-18","RGTI","167050","4664","318479","N"
"NYTRF","2023-05-17","RGTI","204783","500","395891","N"
"NQTRF","2023-05-17","RGTI","414765","107710","544458","Q"
"NCTRF","2023-05-17","RGTI","200","0","8000","B"
"NCTRF","2023-05-16","RGTI","100","0","100","B"
"NYTRF","2023-05-16","RGTI","90253","300","194627","N"
"NQTRF","2023-05-16","RGTI","174714","10183","337233","Q"
